"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue May 30 06:15:21 GMT 2023","Tue May 30 06:15:25 GMT 2023","4088","","","","","","Get by sdsadIdd",""
"passed","Tue May 30 08:10:41 GMT 2023","Tue May 30 08:10:41 GMT 2023","506","","","","","","Get by Id",""
"passed","Tue May 30 08:10:41 GMT 2023","Tue May 30 08:10:41 GMT 2023","177","","","","","","Get a category and verify the name is a string",""
"failed","Tue May 30 06:53:42 GMT 2023","Tue May 30 06:53:43 GMT 2023","697","","","","","","Create a new product",""
"passed","Tue May 30 06:31:25 GMT 2023","Tue May 30 06:31:25 GMT 2023","0","","","","","","Update category name",""
"passed","Tue May 30 08:10:41 GMT 2023","Tue May 30 08:10:41 GMT 2023","24","","","","","","Get all categories and validate at least one exists",""
"passed","Tue May 30 06:31:25 GMT 2023","Tue May 30 06:31:25 GMT 2023","1","","","","","","Get category by name",""
"passed","Tue May 30 08:10:41 GMT 2023","Tue May 30 08:10:41 GMT 2023","27","","","","","","Get product by ID",""
"passed","Tue May 30 06:15:12 GMT 2023","Tue May 30 06:15:17 GMT 2023","4095","","","","","","Get by Idsadadd",""
"passed","Tue May 30 06:15:08 GMT 2023","Tue May 30 06:15:12 GMT 2023","4077","","","","","","Get by Idadsad",""
"passed","Tue May 30 08:10:41 GMT 2023","Tue May 30 08:10:42 GMT 2023","38","","","","","","Get random product and verify the price is a number",""
"passed","Tue May 30 06:15:17 GMT 2023","Tue May 30 06:15:21 GMT 2023","4088","","","","","","Get by sasIdd",""
